step,episode,reward,avg_reward_100,epsilon,elapsed_s
410461,337,-19.00,-17.41,0.2612,1502.1
412560,338,-15.00,-17.36,0.2574,1510.5
414392,339,-19.00,-17.37,0.2541,1517.9
416580,340,-14.00,-17.30,0.2502,1526.8
418709,341,-15.00,-17.30,0.2463,1535.4
420899,342,-13.00,-17.22,0.2424,1544.2
423418,343,-11.00,-17.16,0.2378,1554.5
425140,344,-18.00,-17.14,0.2347,1561.4
427088,345,-18.00,-17.11,0.2312,1569.3
429617,346,-15.00,-17.07,0.2267,1579.4
432027,347,-14.00,-17.05,0.2224,1589.1
433633,348,-19.00,-17.06,0.2195,1595.7
435896,349,-12.00,-16.98,0.2154,1604.8
437674,350,-16.00,-16.95,0.2122,1612.2
440297,351,-15.00,-16.92,0.2075,1623.2
442574,352,-15.00,-16.87,0.2034,1632.4
444746,353,-20.00,-16.91,0.1995,1641.3
446656,354,-20.00,-16.91,0.1960,1649.0
449137,355,-12.00,-16.84,0.1916,1659.3
451200,356,-17.00,-16.82,0.1878,1669.0
452863,357,-18.00,-16.81,0.1848,1676.2
455039,358,-15.00,-16.75,0.1809,1688.4
456970,359,-16.00,-16.73,0.1775,1700.0
460069,360,-11.00,-16.68,0.1719,1719.1
461892,361,-19.00,-16.68,0.1686,1730.1
463859,362,-18.00,-16.68,0.1651,1742.2
466485,363,-17.00,-16.65,0.1603,1758.3
468521,364,-17.00,-16.63,0.1567,1770.7
470141,365,-17.00,-16.60,0.1537,1780.7
471681,366,-18.00,-16.63,0.1510,1790.2
474549,367,-12.00,-16.58,0.1458,1807.7
476986,368,-16.00,-16.56,0.1414,1822.8
478884,369,-18.00,-16.55,0.1380,1834.5
481125,370,-15.00,-16.49,0.1340,1848.3
483372,371,-15.00,-16.49,0.1299,1862.1
485880,372,-16.00,-16.45,0.1254,1877.6
489240,373,-10.00,-16.34,0.1194,1898.6
492522,374,-11.00,-16.26,0.1135,1919.4
495297,375,-9.00,-16.17,0.1085,1936.7
498329,376,-9.00,-16.07,0.1030,1955.3
501039,377,-11.00,-16.02,0.1000,1972.5
504204,378,-10.00,-15.92,0.1000,1992.3
507650,379,-13.00,-15.86,0.1000,2013.9
510460,380,-11.00,-15.80,0.1000,2031.8
512728,381,-15.00,-15.78,0.1000,2045.9
515515,382,-12.00,-15.71,0.1000,2063.1
518145,383,-10.00,-15.65,0.1000,2079.5
521579,384,-8.00,-15.58,0.1000,2101.0
523954,385,-13.00,-15.56,0.1000,2115.7
528253,386,-3.00,-15.41,0.1000,2142.4
531848,387,-10.00,-15.35,0.1000,2165.1
533980,388,-16.00,-15.38,0.1000,2178.1
536427,389,-14.00,-15.31,0.1000,2193.3
540056,390,-7.00,-15.19,0.1000,2216.1
543388,391,-9.00,-15.08,0.1000,2237.1
546519,392,-12.00,-15.04,0.1000,2257.1
549153,393,-12.00,-15.00,0.1000,2273.4
551417,394,-13.00,-14.94,0.1000,2287.5
553464,395,-14.00,-14.90,0.1000,2297.6
556508,396,-6.00,-14.76,0.1000,2316.4
559636,397,-15.00,-14.76,0.1000,2336.0
562845,398,-15.00,-14.73,0.1000,2355.8
565090,399,-16.00,-14.69,0.1000,2369.4
568159,400,-14.00,-14.67,0.1000,2388.3
570993,401,-14.00,-14.62,0.1000,2405.9
573990,402,-13.00,-14.60,0.1000,2423.3
576992,403,-10.00,-14.51,0.1000,2441.6
580127,404,-11.00,-14.45,0.1000,2460.8
583727,405,-8.00,-14.36,0.1000,2480.2
587250,406,-5.00,-14.25,0.1000,2501.4
592004,407,-2.00,-14.13,0.1000,2529.4
595467,408,-7.00,-14.06,0.1000,2550.0
598700,409,-3.00,-13.93,0.1000,2569.6
601662,410,-14.00,-13.94,0.1000,2588.0
604933,411,-11.00,-13.89,0.1000,2608.1
607818,412,-10.00,-13.85,0.1000,2625.5
610522,413,-16.00,-13.83,0.1000,2642.2
614193,414,-5.00,-13.72,0.1000,2664.8
617554,415,-5.00,-13.59,0.1000,2685.1
620919,416,-10.00,-13.52,0.1000,2705.9
624844,417,1.00,-13.36,0.1000,2730.2
627324,418,-12.00,-13.36,0.1000,2745.4
632021,419,1.00,-13.16,0.1000,2774.4
634621,420,-9.00,-13.13,0.1000,2790.2
638723,421,1.00,-12.93,0.1000,2815.5
641880,422,-7.00,-12.83,0.1000,2835.2
642753,423,-21.00,-12.85,0.1000,2840.6
646770,424,-5.00,-12.74,0.1000,2865.0
650837,425,-6.00,-12.66,0.1000,2890.3
652991,426,-15.00,-12.65,0.1000,2903.6
656168,427,-9.00,-12.58,0.1000,2922.8
659195,428,-10.00,-12.50,0.1000,2941.5
661697,429,-13.00,-12.49,0.1000,2956.8
665258,430,-6.00,-12.40,0.1000,2978.9
668261,431,-12.00,-12.35,0.1000,2997.5
672268,432,-5.00,-12.24,0.1000,3022.0
675802,433,-7.00,-12.15,0.1000,3043.7
679590,434,-7.00,-12.09,0.1000,3067.1
683665,435,1.00,-11.94,0.1000,3091.9
688056,436,-3.00,-11.80,0.1000,3119.2
690643,437,-13.00,-11.74,0.1000,3135.2
693912,438,-11.00,-11.70,0.1000,3155.2
696167,439,-16.00,-11.67,0.1000,3169.5
699963,440,-2.00,-11.55,0.1000,3193.0
704478,441,1.00,-11.39,0.1000,3220.9
708211,442,-5.00,-11.31,0.1000,3244.2
712683,443,2.00,-11.18,0.1000,3272.5
716541,444,-2.00,-11.02,0.1000,3296.5
719880,445,5.00,-10.79,0.1000,3317.0
723075,446,-11.00,-10.75,0.1000,3336.7
726063,447,-13.00,-10.74,0.1000,3355.4
729809,448,-5.00,-10.60,0.1000,3378.4
733595,449,-2.00,-10.50,0.1000,3401.5
736542,450,-11.00,-10.45,0.1000,3419.9
738947,451,-13.00,-10.43,0.1000,3434.4
741668,452,-15.00,-10.43,0.1000,3451.2
745634,453,-8.00,-10.31,0.1000,3475.7
748913,454,-15.00,-10.26,0.1000,3496.3
751970,455,-11.00,-10.25,0.1000,3515.1
755102,456,-15.00,-10.23,0.1000,3534.2
759510,457,-3.00,-10.08,0.1000,3560.4
764248,458,2.00,-9.91,0.1000,3589.0
767510,459,-12.00,-9.87,0.1000,3608.7
771833,460,-4.00,-9.80,0.1000,3634.8
776173,461,1.00,-9.60,0.1000,3661.0
781347,462,-5.00,-9.47,0.1000,3691.8
784626,463,-11.00,-9.41,0.1000,3712.0
787886,464,-6.00,-9.30,0.1000,3731.5
791488,465,5.00,-9.08,0.1000,3752.9
795040,466,-7.00,-8.97,0.1000,3774.8
796762,467,-14.00,-8.99,0.1000,3785.2
799420,468,-11.00,-8.94,0.1000,3801.3
803517,469,-4.00,-8.80,0.1000,3826.1
808245,470,-2.00,-8.67,0.1000,3854.4
812023,471,-4.00,-8.56,0.1000,3877.0
816166,472,-4.00,-8.44,0.1000,3902.6
820003,473,-3.00,-8.37,0.1000,3925.5
824036,474,-6.00,-8.32,0.1000,3949.8
828378,475,4.00,-8.19,0.1000,3975.9
832876,476,-3.00,-8.13,0.1000,4002.9
837180,477,2.00,-8.00,0.1000,4028.7
841944,478,-3.00,-7.93,0.1000,4056.9
846649,479,6.00,-7.74,0.1000,4085.5
850670,480,-5.00,-7.68,0.1000,4109.5
854713,481,-3.00,-7.56,0.1000,4133.9
859334,482,1.00,-7.43,0.1000,4161.9
863393,483,2.00,-7.31,0.1000,4186.5
866676,484,-6.00,-7.29,0.1000,4206.2
871316,485,1.00,-7.15,0.1000,4234.0
874994,486,-5.00,-7.17,0.1000,4256.1
878209,487,-6.00,-7.13,0.1000,4275.4
883036,488,-2.00,-6.99,0.1000,4304.1
887530,489,-4.00,-6.89,0.1000,4331.1
890695,490,-10.00,-6.92,0.1000,4349.8
896281,491,-2.00,-6.85,0.1000,4383.3
900283,492,-1.00,-6.74,0.1000,4407.5
904225,493,-5.00,-6.67,0.1000,4431.0
907948,494,4.00,-6.50,0.1000,4453.4
911690,495,8.00,-6.28,0.1000,4476.1
915879,496,1.00,-6.21,0.1000,4501.7
918606,497,-10.00,-6.16,0.1000,4517.9
923226,498,2.00,-5.99,0.1000,4545.5
927466,499,3.00,-5.80,0.1000,4571.7
930297,500,-8.00,-5.74,0.1000,4588.5
934137,501,2.00,-5.58,0.1000,4611.7
938383,502,1.00,-5.44,0.1000,4637.5
942064,503,4.00,-5.30,0.1000,4659.8
945622,504,-7.00,-5.26,0.1000,4681.4
949798,505,-1.00,-5.19,0.1000,4706.8
954100,506,7.00,-5.07,0.1000,4733.0
957694,507,-6.00,-5.11,0.1000,4755.1
962396,508,4.00,-5.00,0.1000,4783.3
965413,509,-8.00,-5.05,0.1000,4802.1
969101,510,7.00,-4.84,0.1000,4824.5
973042,511,1.00,-4.72,0.1000,4848.6
977462,512,3.00,-4.59,0.1000,4875.7
981717,513,3.00,-4.40,0.1000,4901.6
985811,514,5.00,-4.30,0.1000,4926.6
989845,515,-2.00,-4.27,0.1000,4951.1
993027,516,-6.00,-4.23,0.1000,4970.6
996376,517,9.00,-4.15,0.1000,4991.1
1000270,518,-6.00,-4.09,0.1000,5014.5
