step,episode,reward,avg_reward_100,epsilon,elapsed_s
918067,517,16.00,13.81,0.1000,5396.2
920065,518,17.00,13.86,0.1000,5408.8
922099,519,17.00,13.90,0.1000,5422.0
924055,520,19.00,13.93,0.1000,5434.4
926209,521,14.00,13.92,0.1000,5448.1
928046,522,19.00,13.99,0.1000,5459.9
930283,523,17.00,14.01,0.1000,5474.3
932632,524,17.00,14.04,0.1000,5489.2
935151,525,8.00,14.02,0.1000,5505.2
937215,526,16.00,14.08,0.1000,5518.2
939262,527,16.00,14.07,0.1000,5531.2
941431,528,18.00,14.10,0.1000,5544.9
944409,529,9.00,14.05,0.1000,5563.8
946861,530,13.00,14.05,0.1000,5579.3
948932,531,18.00,14.12,0.1000,5592.4
951410,532,13.00,14.13,0.1000,5608.3
953327,533,18.00,14.18,0.1000,5620.6
955715,534,17.00,14.26,0.1000,5635.6
958357,535,12.00,14.23,0.1000,5652.4
960352,536,18.00,14.23,0.1000,5664.9
962748,537,12.00,14.23,0.1000,5680.2
964690,538,19.00,14.30,0.1000,5692.6
966999,539,15.00,14.39,0.1000,5707.1
969446,540,16.00,14.36,0.1000,5722.8
971865,541,16.00,14.35,0.1000,5738.0
974194,542,14.00,14.40,0.1000,5752.7
976685,543,13.00,14.38,0.1000,5768.5
978530,544,20.00,14.45,0.1000,5780.5
981364,545,11.00,14.41,0.1000,5798.4
983946,546,15.00,14.43,0.1000,5814.9
986229,547,14.00,14.45,0.1000,5829.3
988440,548,13.00,14.45,0.1000,5843.4
990888,549,11.00,14.37,0.1000,5858.8
993044,550,14.00,14.44,0.1000,5872.4
995531,551,13.00,14.48,0.1000,5887.9
997652,552,16.00,14.50,0.1000,5901.6
999730,553,16.00,14.53,0.1000,5914.7
1001642,554,19.00,14.65,0.1000,5926.7
